"COUNTRY","Country","DAGEGR","Age groups","DSEX","Gender","DSTATUS","Status of population","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","1111","11 years","2","Females","90","All population","2007","2007",134495,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2008","2008",135056,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2009","2009",134869,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2010","2010",136016,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2011","2011",136907,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2012","2012",134349,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2002","2002",140856,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2003","2003",142883,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2004","2004",142535,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2005","2005",142764,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2006","2006",143481,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2007","2007",145123,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2008","2008",143535,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2009","2009",143733,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2010","2010",143455,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2011","2011",143866,,
"AUS","Australia","1212","12 years","1","Males","90","All population","2012","2012",141946,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2002","2002",133577,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2003","2003",135795,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2004","2004",135845,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2005","2005",135461,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2006","2006",135142,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2007","2007",137843,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2008","2008",135836,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2009","2009",136514,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2010","2010",136063,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2011","2011",136885,,
"AUS","Australia","1212","12 years","2","Females","90","All population","2012","2012",135366,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2002","2002",138678,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2003","2003",141629,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2004","2004",143669,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2005","2005",143434,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2006","2006",143548,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2007","2007",145229,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2008","2008",146701,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2009","2009",144983,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2010","2010",144752,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2011","2011",144340,,
"AUS","Australia","1313","13 years","1","Males","90","All population","2012","2012",142719,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2002","2002",132591,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2003","2003",134357,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2004","2004",136543,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2005","2005",136661,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2006","2006",136229,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2007","2007",137407,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2008","2008",139360,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2009","2009",137240,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2010","2010",137592,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2011","2011",136922,,
"AUS","Australia","1313","13 years","2","Females","90","All population","2012","2012",135909,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2002","2002",137447,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2003","2003",139553,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2004","2004",142183,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2005","2005",144556,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2006","2006",144253,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2007","2007",145921,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2008","2008",146758,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2009","2009",148132,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2010","2010",146062,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2011","2011",145654,,
"AUS","Australia","1414","14 years","1","Males","90","All population","2012","2012",143464,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2002","2002",131427,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2003","2003",133232,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2004","2004",134982,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2005","2005",137281,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2006","2006",137426,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2007","2007",138365,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2008","2008",138846,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2009","2009",140768,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2010","2010",138282,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2011","2011",138447,,
"AUS","Australia","1414","14 years","2","Females","90","All population","2012","2012",135781,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2002","2002",137894,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2003","2003",138097,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2004","2004",140180,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2005","2005",143003,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2006","2006",145507,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2007","2007",147106,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2008","2008",147555,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2009","2009",148604,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2010","2010",149678,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2011","2011",147425,,
"AUS","Australia","1515","15 years","1","Males","90","All population","2012","2012",145250,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2002","2002",131199,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2003","2003",132018,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2004","2004",133845,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2005","2005",135686,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2006","2006",138190,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2007","2007",139228,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2008","2008",139952,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2009","2009",140679,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2010","2010",142289,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2011","2011",139714,,
"AUS","Australia","1515","15 years","2","Females","90","All population","2012","2012",138260,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2002","2002",696033,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2003","2003",698587,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2004","2004",702012,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2005","2005",708305,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2006","2006",720491,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2007","2007",739515,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2008","2008",756525,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2009","2009",767426,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2010","2010",770614,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2011","2011",765850,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2012","2012",748674,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2002","2002",664072,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2003","2003",665547,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2004","2004",668445,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2005","2005",672774,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2006","2006",684928,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2007","2007",700766,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2008","2008",714624,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2009","2009",726372,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2010","2010",730396,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2011","2011",726523,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2012","2012",711514,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2002","2002",139157,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2003","2003",138479,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2004","2004",138627,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2005","2005",141174,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2006","2006",144232,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2007","2007",148358,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2008","2008",149156,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2009","2009",149653,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2010","2010",150511,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2011","2011",151131,,
"AUS","Australia","1616","16 years","1","Males","90","All population","2012","2012",146805,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2002","2002",132630,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2003","2003",131622,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2004","2004",132452,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2005","2005",134821,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2006","2006",136863,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2007","2007",140725,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2008","2008",141076,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2009","2009",142102,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2010","2010",142680,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2011","2011",143865,,
"AUS","Australia","1616","16 years","2","Females","90","All population","2012","2012",139286,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2002","2002",139296,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2003","2003",140011,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2004","2004",139229,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2005","2005",139973,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2006","2006",143105,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2007","2007",149603,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2008","2008",151405,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2009","2009",152197,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2010","2010",152479,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2011","2011",152663,,
"AUS","Australia","1717","17 years","1","Males","90","All population","2012","2012",150784,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2002","2002",133776,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2003","2003",133405,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2004","2004",132185,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2005","2005",133561,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2006","2006",136742,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2007","2007",141139,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2008","2008",143537,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2009","2009",144160,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2010","2010",144804,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2011","2011",144624,,
"AUS","Australia","1717","17 years","2","Females","90","All population","2012","2012",142883,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2002","2002",138781,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2003","2003",141099,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2004","2004",141213,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2005","2005",140877,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2006","2006",142773,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2007","2007",147185,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2008","2008",154276,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2009","2009",155820,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2010","2010",155991,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2011","2011",155179,,
"AUS","Australia","1818","18 years","1","Males","90","All population","2012","2012",151582,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2002","2002",132252,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2003","2003",134983,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2004","2004",134196,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2005","2005",133222,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2006","2006",136116,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2007","2007",139392,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2008","2008",144925,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2009","2009",147796,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2010","2010",147331,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2011","2011",147209,,
"AUS","Australia","1818","18 years","2","Females","90","All population","2012","2012",143859,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2002","2002",140905,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2003","2003",140901,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2004","2004",142763,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2005","2005",143278,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2006","2006",144874,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2007","2007",147263,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2008","2008",154133,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2009","2009",161152,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2010","2010",161955,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2011","2011",159452,,
"AUS","Australia","1919","19 years","1","Males","90","All population","2012","2012",154253,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2002","2002",134215,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2003","2003",133519,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2004","2004",135767,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2005","2005",135484,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2006","2006",137017,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2007","2007",140282,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2008","2008",145134,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2009","2009",151635,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2010","2010",153292,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2011","2011",151111,,
"AUS","Australia","1919","19 years","2","Females","90","All population","2012","2012",147226,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2002","2002",139231,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2003","2003",143121,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2004","2004",142718,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2005","2005",145137,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2006","2006",147454,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2007","2007",148049,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2008","2008",152970,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2009","2009",160069,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2010","2010",168329,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2011","2011",165078,,
"AUS","Australia","2020","20 years","1","Males","90","All population","2012","2012",156858,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2002","2002",133774,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2003","2003",136009,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2004","2004",134777,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2005","2005",137366,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2006","2006",139958,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2007","2007",141655,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2008","2008",144636,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2009","2009",151266,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2010","2010",157831,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2011","2011",157423,,
"AUS","Australia","2020","20 years","2","Females","90","All population","2012","2012",150712,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2002","2002",676737,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2003","2003",696402,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2004","2004",714044,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2005","2005",729792,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2006","2006",746088,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2007","2007",759719,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2008","2008",782998,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2009","2009",810048,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2010","2010",849732,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2011","2011",853731,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2012","2012",827157,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2002","2002",652455,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2003","2003",667642,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2004","2004",678268,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2005","2005",690799,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2006","2006",707341,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2007","2007",734417,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2008","2008",747592,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2009","2009",771739,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2010","2010",799927,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2011","2011",804741,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2012","2012",795267,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2002","2002",138293,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2003","2003",141401,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2004","2004",145232,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2005","2005",145127,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2006","2006",149144,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2007","2007",151114,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2008","2008",154162,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2009","2009",159027,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2010","2010",168121,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2011","2011",171781,,
"AUS","Australia","2121","21 years","1","Males","90","All population","2012","2012",162391,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2002","2002",132855,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2003","2003",135785,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2004","2004",137591,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2005","2005",136637,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2006","2006",141611,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2007","2007",146025,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2008","2008",146192,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2009","2009",150826,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2010","2010",157881,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2011","2011",161193,,
"AUS","Australia","2121","21 years","2","Females","90","All population","2012","2012",156949,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2002","2002",134590,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2003","2003",140491,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2004","2004",143757,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2005","2005",147727,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2006","2006",148847,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2007","2007",152962,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2008","2008",157190,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2009","2009",160762,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2010","2010",168458,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2011","2011",171778,,
"AUS","Australia","2222","22 years","1","Males","90","All population","2012","2012",169031,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2002","2002",129184,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2003","2003",134678,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2004","2004",137269,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2005","2005",139374,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2006","2006",140461,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2007","2007",148891,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2008","2008",150236,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2009","2009",152628,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2010","2010",158501,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2011","2011",160992,,
"AUS","Australia","2222","22 years","2","Females","90","All population","2012","2012",161837,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2002","2002",132091,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2003","2003",136939,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2004","2004",143138,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2005","2005",146630,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2006","2006",151314,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2007","2007",153042,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2008","2008",159301,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2009","2009",164274,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2010","2010",170823,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2011","2011",172177,,
"AUS","Australia","2323","23 years","1","Males","90","All population","2012","2012",169347,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2002","2002",128252,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2003","2003",130756,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2004","2004",136294,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2005","2005",139354,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2006","2006",143098,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2007","2007",148539,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2008","2008",153193,,
"AUS","Australia","2323","23 years","2","Females","90","All population","2009","2009",157150,,
